rdb_modern_table	rdb_modern_col	writing_sp	nrt_staging_source	odse_source_col(s)	transform_note	status	fixture_proof
LAB_TEST	LAB_TEST_KEY	sp_d_lab_test_postprocessing	nrt_lab_test_key.LAB_TEST_KEY (IDENTITY surrogate keyed on LAB_TEST_UID)	(surrogate; no ODSE col)	IDENTITY key minted from nrt_lab_test_key by observation_uid	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md LAB_TEST 65/66
LAB_TEST	LAB_TEST_UID	sp_d_lab_test_postprocessing	nrt_observation.observation_uid	observation.observation_uid	passthrough	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	LAB_TEST_PNTR	sp_d_lab_test_postprocessing	nrt_observation.observation_uid	observation.observation_uid	self-pointer (= observation_uid)	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	ROOT_ORDERED_TEST_PNTR	sp_d_lab_test_postprocessing	nrt_observation.report_observation_uid / report_refr_uid (#hierarchical_data)	act_relationship (Result->Order) projected as report_observation_uid	CASE on LAB_TEST_Type walks parent Order via report_observation_uid	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	PARENT_TEST_PNTR	sp_d_lab_test_postprocessing	nrt_observation.report_observation_uid (#hierarchical_data)	act_relationship (Result->Order) projected as report_observation_uid	CASE on LAB_TEST_Type	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	ROOT_ORDERED_TEST_NM	sp_d_lab_test_postprocessing	nrt_observation.cd_desc_txt of root order (#merge_order)	observation.cd_desc_txt (parent order)	parent order's test name via #merge_order join	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	PARENT_TEST_NM	sp_d_lab_test_postprocessing	nrt_observation.cd_desc_txt of parent (#merge_order)	observation.cd_desc_txt (parent order)	parent order's test name	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	LAB_TEST_CD	sp_d_lab_test_postprocessing	nrt_observation.cd	observation.cd	passthrough (LOINC)	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	LAB_TEST_CD_DESC	sp_d_lab_test_postprocessing	nrt_observation.cd_desc_txt	observation.cd_desc_txt	passthrough	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	LAB_TEST_CD_SYS_CD	sp_d_lab_test_postprocessing	nrt_observation.cd_system_cd	observation.cd_system_cd	passthrough	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	LAB_TEST_CD_SYS_NM	sp_d_lab_test_postprocessing	nrt_observation.cd_system_desc_txt	observation.cd_system_desc_txt	passthrough	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	ALT_LAB_TEST_CD	sp_d_lab_test_postprocessing	nrt_observation.alt_cd	observation.alt_cd	passthrough	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	ALT_LAB_TEST_CD_DESC	sp_d_lab_test_postprocessing	nrt_observation.alt_cd_desc_txt	observation.alt_cd_desc_txt	passthrough	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	ALT_LAB_TEST_CD_SYS_CD	sp_d_lab_test_postprocessing	nrt_observation.alt_cd_system_cd	observation.alt_cd_system_cd	passthrough	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	ALT_LAB_TEST_CD_SYS_NM	sp_d_lab_test_postprocessing	nrt_observation.alt_cd_system_desc_txt	observation.alt_cd_system_desc_txt	passthrough	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	LAB_TEST_DT	sp_d_lab_test_postprocessing	nrt_observation.activity_to_time	observation.activity_to_time	passthrough	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	LAB_TEST_TYPE	sp_d_lab_test_postprocessing	nrt_observation.obs_domain_cd_st_1	observation.obs_domain_cd_st_1	passthrough (Order/Result/...)	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	LAB_TEST_STATUS	sp_d_lab_test_postprocessing	nrt_observation.status_cd -> nrt_srte_Code_value_general (ACT_OBJ_ST)	observation.status_cd	code_short_desc_txt lookup on ACT_OBJ_ST	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	TEST_METHOD_CD	sp_d_lab_test_postprocessing	nrt_observation.method_cd	observation.method_cd	passthrough	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	TEST_METHOD_CD_DESC	sp_d_lab_test_postprocessing	nrt_observation.method_desc_txt	observation.method_desc_txt	passthrough	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	PRIORITY_CD	sp_d_lab_test_postprocessing	nrt_observation.priority_cd	observation.priority_cd	passthrough	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	SPECIMEN_SITE	sp_d_lab_test_postprocessing	nrt_observation.target_site_cd	observation.target_site_cd	passthrough	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	SPECIMEN_SITE_DESC	sp_d_lab_test_postprocessing	nrt_observation.target_site_desc_txt	observation.target_site_desc_txt	passthrough	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
LAB_TEST	CLINICAL_INFORMATION	sp_d_lab_test_postprocessing	nrt_observation.txt	observation.txt	passthrough	VERIFIED	fixtures/10_subjects/lab.sql; coverage_lab.md
