rdb_modern_table	rdb_modern_col	writing_sp	nrt_staging_source	odse_source_col(s)	transform_note	status	fixture_proof
D_ADDL_RISK	TB_PAM_UID	sp_nrt_d_addl_risk_postprocessing	nrt_page_case_answer.act_uid (QUESTION_IDENTIFIER='TUB167'), filtered to #S_PHC_LIST; joined to nrt_investigation on public_health_case_uid	page-answer (nbs_case_answer / PAM page) → CDC pipeline → nrt_page_case_answer; act_uid = the TB PAM PHC UID	CAST(act_uid AS BIGINT); the owning TB PAM investigation UID. SP 146-…-001.sql:76,99.	VERIFIED	fixtures/30_sp_coverage/tb_investigation_full_chain.sql; coverage_tb_full_chain.md; coverage_merged.md (6/6)
D_ADDL_RISK	D_ADDL_RISK_KEY	sp_nrt_d_addl_risk_postprocessing	NRT_ADDL_RISK_KEY.D_ADDL_RISK_KEY (RTR-internal surrogate, IDENTITY-allocated per TB_PAM_UID+NBS_CASE_ANSWER_UID)	(none — surrogate key)	Guarded INSERT/UPDATE; ISNULL→sentinel 1 in #L_ADDL_RISK. SP 146-…-001.sql:301-306,398.	VERIFIED	fixtures/30_sp_coverage/tb_investigation_full_chain.sql; coverage_tb_full_chain.md; coverage_merged.md (6/6)
D_ADDL_RISK	D_ADDL_RISK_GROUP_KEY	sp_nrt_d_addl_risk_postprocessing	NRT_ADDL_RISK_GROUP_KEY.D_ADDL_RISK_GROUP_KEY (RTR-internal surrogate, allocated per TB_PAM_UID)	(none — surrogate FK)	FK to D_ADDL_RISK_GROUP; ISNULL→sentinel 1. Also pushed to F_TB_PAM. SP 146-…-001.sql:277,397,560.	VERIFIED	fixtures/30_sp_coverage/tb_investigation_full_chain.sql; coverage_tb_full_chain.md; coverage_merged.md (6/6)
D_ADDL_RISK	SEQ_NBR	sp_nrt_d_addl_risk_postprocessing	nrt_page_case_answer.seq_nbr	page-answer (nbs_case_answer / PAM page) → nrt_page_case_answer.seq_nbr	Carried through pivot grain. SP 146-…-001.sql:77,432,495.	VERIFIED	fixtures/30_sp_coverage/tb_investigation_full_chain.sql; coverage_tb_full_chain.md; coverage_merged.md (6/6)
D_ADDL_RISK	LAST_CHG_TIME	sp_nrt_d_addl_risk_postprocessing	nrt_page_case_answer.last_chg_time	page-answer (nbs_case_answer / PAM page) → nrt_page_case_answer.last_chg_time	Carried through. SP 146-…-001.sql:82,434,496.	VERIFIED	fixtures/30_sp_coverage/tb_investigation_full_chain.sql; coverage_tb_full_chain.md; coverage_merged.md (6/6)
D_ADDL_RISK	VALUE	sp_nrt_d_addl_risk_postprocessing	nrt_page_case_answer.answer_txt, decoded via nrt_srte_codeset_group_metadata + nrt_srte_code_value_general (CODE_SHORT_DESC_TXT)	page-answer value (nbs_case_answer.answer_txt) → nrt_page_case_answer.answer_txt; code decoded against SRTE code_value_general	CASE: CODE_SET_GROUP_ID NULL/''→ANSWER_TXT else CODE_SHORT_DESC_TXT. Sample 'Diabetes Mellitus'. SP 146-…-001.sql:128-135.	VERIFIED	fixtures/30_sp_coverage/tb_investigation_full_chain.sql; coverage_tb_full_chain.md; coverage_merged.md (6/6)
D_ADDL_RISK_GROUP	D_ADDL_RISK_GROUP_KEY	sp_nrt_d_addl_risk_postprocessing	NRT_ADDL_RISK_GROUP_KEY.D_ADDL_RISK_GROUP_KEY (RTR-internal surrogate)	(none — surrogate key)	Guarded INSERT of DISTINCT group keys feeding D_ADDL_RISK; sentinel row 1 seeded. SP 146-…-001.sql:464-472.	VERIFIED	fixtures/30_sp_coverage/tb_investigation_full_chain.sql; coverage_tb_full_chain.md; coverage_merged.md (1/1)
D_DISEASE_SITE	TB_PAM_UID	sp_nrt_d_disease_site_postprocessing	nrt_page_case_answer.act_uid (QUESTION_IDENTIFIER='TUB119'), filtered to #S_PHC_LIST; joined to nrt_investigation	page-answer (nbs_case_answer / PAM page) → nrt_page_case_answer; act_uid = TB PAM PHC UID	CAST(act_uid AS BIGINT). SP 145-…-001.sql:76,99.	VERIFIED	fixtures/30_sp_coverage/tb_investigation_full_chain.sql; coverage_tb_full_chain.md; coverage_merged.md (6/6)
D_DISEASE_SITE	D_DISEASE_SITE_KEY	sp_nrt_d_disease_site_postprocessing	NRT_DISEASE_SITE_KEY.D_DISEASE_SITE_KEY (RTR-internal surrogate)	(none — surrogate key)	Guarded; ISNULL→sentinel 1. SP 145-…-001 (templated; cf. 146:301-306,398).	VERIFIED	fixtures/30_sp_coverage/tb_investigation_full_chain.sql; coverage_tb_full_chain.md; coverage_merged.md (6/6)
D_DISEASE_SITE	D_DISEASE_SITE_GROUP_KEY	sp_nrt_d_disease_site_postprocessing	NRT_DISEASE_SITE_GROUP_KEY.D_DISEASE_SITE_GROUP_KEY (RTR-internal surrogate)	(none — surrogate FK)	FK to D_DISEASE_SITE_GROUP; ISNULL→1; pushed to F_TB_PAM. Templated.	VERIFIED	fixtures/30_sp_coverage/tb_investigation_full_chain.sql; coverage_tb_full_chain.md; coverage_merged.md (6/6)
