rdb_modern_table	rdb_modern_col	writing_sp	nrt_staging_source	odse_source_col(s)	transform_note	status	fixture_proof
d_patient	PATIENT_KEY	sp_nrt_patient_postprocessing	nrt_patient_key.d_patient_key	(none — surrogate)	IDENTITY-allocated surrogate key in nrt_patient_key	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md (81/81)
d_patient	PATIENT_UID	sp_nrt_patient_postprocessing	nrt_patient.patient_uid	person.person_uid	pass-through	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_MPR_UID	sp_nrt_patient_postprocessing	nrt_patient.patient_mpr_uid	person.person_parent_uid	pass-through	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_RECORD_STATUS	sp_nrt_patient_postprocessing	nrt_patient.record_status	person.record_status_cd	fn_get_record_status() in event SP	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_LOCAL_ID	sp_nrt_patient_postprocessing	nrt_patient.local_id	person.local_id	pass-through	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_GENERAL_COMMENTS	sp_nrt_patient_postprocessing	nrt_patient.general_comments	person.description	blank->NULL (rtrim/ltrim)	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_FIRST_NAME	sp_nrt_patient_postprocessing	nrt_patient.first_name	person.first_nm	pass-through	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_MIDDLE_NAME	sp_nrt_patient_postprocessing	nrt_patient.middle_name	person.middle_nm	blank->NULL	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_LAST_NAME	sp_nrt_patient_postprocessing	nrt_patient.last_name	person.last_nm	pass-through	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_NAME_SUFFIX	sp_nrt_patient_postprocessing	nrt_patient.name_suffix	person.nm_suffix / person_name.nm_suffix	P_NM_SFX code lookup (DEM107)	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_ALIAS_NICKNAME	sp_nrt_patient_postprocessing	nrt_patient.alias_nickname	person_name (nm_use_cd='A')	alias person_name row	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_STREET_ADDRESS_1	sp_nrt_patient_postprocessing	nrt_patient.street_address_1	postal_locator.street_addr1	blank->NULL; via ELP PST/H	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_STREET_ADDRESS_2	sp_nrt_patient_postprocessing	nrt_patient.street_address_2	postal_locator.street_addr2	blank->NULL	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_CITY	sp_nrt_patient_postprocessing	nrt_patient.city	postal_locator.city_desc_txt	blank->NULL	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_STATE	sp_nrt_patient_postprocessing	nrt_patient.state	postal_locator.state_cd	state_code SRTE desc join	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_STATE_CODE	sp_nrt_patient_postprocessing	nrt_patient.state_code	postal_locator.state_cd	blank->NULL	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_ZIP	sp_nrt_patient_postprocessing	nrt_patient.zip	postal_locator.zip_cd	blank->NULL	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_COUNTY	sp_nrt_patient_postprocessing	nrt_patient.county	postal_locator.cnty_cd	state_county_code_value desc join	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_COUNTY_CODE	sp_nrt_patient_postprocessing	nrt_patient.county_code	postal_locator.cnty_cd	blank->NULL	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_COUNTRY	sp_nrt_patient_postprocessing	nrt_patient.country	postal_locator.cntry_cd (use_cd='H')	home_country branch; blank->NULL	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_WITHIN_CITY_LIMITS	sp_nrt_patient_postprocessing	nrt_patient.within_city_limits	postal_locator.within_city_limits_ind	blank->NULL	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_PHONE_HOME	sp_nrt_patient_postprocessing	nrt_patient.phone_home	tele_locator.phone_nbr_txt (ELP TELE/H/PH)	REPLACE spaces; blank->NULL	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_PHONE_EXT_HOME	sp_nrt_patient_postprocessing	nrt_patient.phone_ext_home	tele_locator.extension_txt (home)	blank->NULL	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_PHONE_WORK	sp_nrt_patient_postprocessing	nrt_patient.phone_work	tele_locator.phone_nbr_txt (ELP TELE/WP)	blank->NULL	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_PHONE_EXT_WORK	sp_nrt_patient_postprocessing	nrt_patient.phone_ext_work	tele_locator.extension_txt (work)	blank->NULL	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_PHONE_CELL	sp_nrt_patient_postprocessing	nrt_patient.phone_cell	tele_locator.phone_nbr_txt (ELP TELE/H/CP)	cell-phone branch	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_EMAIL	sp_nrt_patient_postprocessing	nrt_patient.email	tele_locator.email_address (cd='NET')	email branch (event SP:278-279)	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_DOB	sp_nrt_patient_postprocessing	nrt_patient.dob	person.birth_time	pass-through	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_AGE_REPORTED	sp_nrt_patient_postprocessing	nrt_patient.age_reported	person.age_reported	pass-through	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_AGE_REPORTED_UNIT	sp_nrt_patient_postprocessing	nrt_patient.age_reported_unit	person.age_reported_unit_cd	AGE_UNIT code (DEM218)	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
d_patient	PATIENT_BIRTH_SEX	sp_nrt_patient_postprocessing	nrt_patient.birth_sex	person.birth_gender_cd	SEX code (DEM114)	VERIFIED	fixtures/10_subjects/patient.sql; coverage_patient.md
