rdb_modern_table	rdb_modern_col	writing_sp	nrt_staging_source	odse_source_col(s)	transform_note	status	fixture_proof
INVESTIGATION	INVESTIGATION_KEY	sp_nrt_investigation_postprocessing	nrt_investigation_key.d_investigation_key	(none — surrogate)	IDENTITY surrogate allocated in nrt_investigation_key on insert (SP:530-534,608)	VERIFIED	fixtures/10_subjects/investigation.sql; coverage_investigation.md (71/71)
INVESTIGATION	CASE_OID	sp_nrt_investigation_postprocessing	nrt_investigation.program_jurisdiction_oid	public_health_case.program_jurisdiction_oid	pass-through	VERIFIED	fixtures/10_subjects/investigation.sql; coverage_investigation.md
INVESTIGATION	CASE_UID	sp_nrt_investigation_postprocessing	nrt_investigation.public_health_case_uid	public_health_case.public_health_case_uid	pass-through	VERIFIED	fixtures/10_subjects/investigation.sql; coverage_investigation.md
INVESTIGATION	CASE_RPT_MMWR_WK	sp_nrt_investigation_postprocessing	nrt_investigation.mmwr_week	public_health_case.mmwr_week	NULLIF(x,'') (SP:66)	VERIFIED	fixtures/10_subjects/investigation.sql; coverage_investigation.md
INVESTIGATION	CASE_RPT_MMWR_YR	sp_nrt_investigation_postprocessing	nrt_investigation.mmwr_year	public_health_case.mmwr_year	NULLIF(x,'') (SP:67)	VERIFIED	fixtures/10_subjects/investigation.sql; coverage_investigation.md
INVESTIGATION	CASE_TYPE	sp_nrt_investigation_postprocessing	nrt_investigation.case_type_cd	public_health_case.case_type_cd	pass-through	VERIFIED	fixtures/10_subjects/investigation.sql; coverage_investigation.md
INVESTIGATION	CITY_COUNTY_CASE_NBR	sp_nrt_investigation_postprocessing	nrt_investigation.city_county_case_nbr	public_health_case.city_county_case_nbr	NULLIF(x,'') (SP:87)	VERIFIED	fixtures/10_subjects/investigation.sql; coverage_investigation.md
INVESTIGATION	COINFECTION_ID	sp_nrt_investigation_postprocessing	nrt_investigation.coinfection_id	public_health_case.coinfection_id	pass-through	VERIFIED	fixtures/10_subjects/investigation.sql; coverage_investigation.md
INVESTIGATION	CONTACT_INFECTIOUS_FROM_DATE	sp_nrt_investigation_postprocessing	nrt_investigation.infectious_from_date	public_health_case.infectious_from_date	pass-through	VERIFIED	fixtures/10_subjects/investigation.sql; coverage_investigation.md
INVESTIGATION	CONTACT_INFECTIOUS_TO_DATE	sp_nrt_investigation_postprocessing	nrt_investigation.infectious_to_date	public_health_case.infectious_to_date	pass-through	VERIFIED	fixtures/10_subjects/investigation.sql; coverage_investigation.md
INVESTIGATION	CONTACT_INV_COMMENTS	sp_nrt_investigation_postprocessing	nrt_investigation.contact_inv_txt	public_health_case.contact_inv_txt	NULLIF(x,'') (SP:107)	VERIFIED	fixtures/10_subjects/investigation.sql; coverage_investigation.md
INVESTIGATION	CONTACT_INV_PRIORITY	sp_nrt_investigation_postprocessing	nrt_investigation.contact_inv_priority	public_health_case.priority_cd	NBS_PRIORITY code_value_general desc (event SP:903-904)	VERIFIED	fixtures/10_subjects/investigation.sql; coverage_investigation.md
INVESTIGATION	CONTACT_INV_STATUS	sp_nrt_investigation_postprocessing	nrt_investigation.contact_inv_status	public_health_case.contact_inv_status_cd	PHC_IN_STS code_value_general short desc (event SP:905-906)	VERIFIED	fixtures/10_subjects/investigation.sql; coverage_investigation.md
INVESTIGATION	CURR_PROCESS_STATE	sp_nrt_investigation_postprocessing	nrt_investigation.curr_process_state	public_health_case.curr_process_state_cd	fn_get_value_by_cvg(...,'CM_PROCESS_STAGE') (event SP:202-207)	VERIFIED	fixtures/10_subjects/investigation.sql; coverage_investigation.md
INVESTIGATION	DAYCARE_ASSOCIATION_IND	sp_nrt_investigation_postprocessing	nrt_investigation.day_care_ind	public_health_case.day_care_ind_cd	fn_get_value_by_cd_codeset(...,'INV148'); legacy INV148 overlay (SP:311)	VERIFIED	fixtures/10_subjects/investigation.sql; coverage_investigation.md
INVESTIGATION	DETECTION_METHOD_DESC_TXT	sp_nrt_investigation_postprocessing	nrt_investigation.detection_method_desc_txt	public_health_case.detection_method_cd	PHC_DET_MT/PHVS_DETECTIONMETHOD_STD code_value_general desc (event SP:900-902)	VERIFIED	fixtures/10_subjects/investigation.sql; coverage_investigation.md
INVESTIGATION	DIAGNOSIS_DT	sp_nrt_investigation_postprocessing	nrt_investigation.diagnosis_time	public_health_case.diagnosis_time	pass-through	VERIFIED	fixtures/10_subjects/investigation.sql; coverage_investigation.md
INVESTIGATION	DIE_FRM_THIS_ILLNESS_IND	sp_nrt_investigation_postprocessing	nrt_investigation.die_frm_this_illness_ind	public_health_case.outcome_cd	fn_get_value_by_cd_codeset(...,'INV145'); legacy INV145/RUB162/MEA078/PRT103 overlay (SP:352-354)	VERIFIED	fixtures/10_subjects/investigation.sql; coverage_investigation.md
